n,date,title,author,url
192,2008-07-06,A Support Group Is My Higher Power,Julie Schumacher,https://www.nytimes.com/2008/07/06/fashion/06love.html
193,2008-07-13,A Brother as Significant as Any Other,Lawrence Everett Forbes,https://www.nytimes.com/2008/07/13/fashion/13love.html
194,2008-07-20,The Wrong Kind of Inheritance,Victoria Dougherty,https://www.nytimes.com/2008/07/20/fashion/20love.html
195,2008-07-27,The Breakups That Got Under My Skin,Kerry Cohen,https://www.nytimes.com/2008/07/27/fashion/27love.html
196,2008-08-03,Disassembling My Childhood,Dan Beachy-Quick,https://www.nytimes.com/2008/08/03/fashion/03love.html
197,2008-08-10,It Took a Villain to Save Our Marriage,Teresa Difalco,https://www.nytimes.com/2008/08/10/fashion/10love.html
198,2008-08-17,My Deployment as a War Bride,Elyse Fenton,https://www.nytimes.com/2008/08/17/fashion/17love.html
199,2008-08-24,We’ll Marry Each Other as Often as Needed,Bob Morris,https://www.nytimes.com/2008/08/24/fashion/24love.html
200,2008-08-31,‘You Need to Take My Son to Jail’,Ann Bauer,https://www.nytimes.com/2008/08/31/fashion/31love.html
201,2008-09-07,My Very Own Cyberstalker,Amy Klein,https://www.nytimes.com/2008/09/07/fashion/07love.html
202,2008-09-14,"So, Tell Me Everything I Know About You",Joanna Pearson,https://www.nytimes.com/2008/09/14/fashion/14love.html
203,2008-09-21,"My First Son, a Pure Memory (Updated With Podcast)",David Hlavsa,https://www.nytimes.com/2008/09/21/fashion/first-son-stillborn-husband-wife.html
204,2008-09-28,Help Wanted: Other Woman,Alix Kates Shulman,https://www.nytimes.com/2008/09/28/fashion/28love.html
205,2008-10-05,Shipping My Insecurities to California,Anna Davies,https://www.nytimes.com/2008/10/05/fashion/05love.html
206,2008-10-12,Playing Role Reversal With My Therapist,Julianna Baggott,https://www.nytimes.com/2008/10/12/fashion/12love.html
207,2008-10-19,The Tiny Hand That Robs the Cradle,Kate Krautkramer,https://www.nytimes.com/2008/10/19/fashion/19love.html
208,2008-10-26,I Measured My Commitment in Carats,Michael Bahler,https://www.nytimes.com/2008/10/26/fashion/26love.html
209,2008-11-02,"The Sea Horse, Our Family Mascot",Kate Rood,https://www.nytimes.com/2008/11/02/fashion/02love.html
210,2008-11-09,"Have That Baby, Dear. I’ll Just Watch.",Jonathan Rabinovitz,https://www.nytimes.com/2008/11/09/fashion/09love.html
211,2008-11-16,War Weary From a Dangerous Liaison,Randon Billings Noble,https://www.nytimes.com/2008/11/16/fashion/16love.html
212,2008-11-23,Sexy Ribbon on the Buyout Package,Mary Pols,https://www.nytimes.com/2008/11/23/fashion/23love.html
213,2008-11-30,"Deeply, Truly (but Not Physically) in Love",Lauren Slater,https://www.nytimes.com/2008/11/30/fashion/30love.html
214,2008-12-07,"Faithful to His Memory, and His Mother",Diane Nottle,https://www.nytimes.com/2008/12/07/fashion/07love.html
215,2008-12-14,The Accidental Breadwinner,Karen Karbo,https://www.nytimes.com/2008/12/14/fashion/14love.html
216,2008-12-28,"The Kindness, and Xanax, of Strangers",Sally G. Hoskins,https://www.nytimes.com/2008/12/28/fashion/28love.html
217,2009-01-04,"Facing My Obsession, in the Flesh",Benoit Denizet-Lewis,https://www.nytimes.com/2009/01/04/fashion/04love.html
218,2009-01-11,"Always a Frog, Now My Prince",Julia Gorin,https://www.nytimes.com/2009/01/11/fashion/11love.html
219,2009-01-18,A Guest Star in His Romantic Drama,Katherine Ruppe,https://www.nytimes.com/2009/01/18/fashion/18love.html
220,2009-01-25,"A Student of Intimacy, Step by Step",Matthew Parker,https://www.nytimes.com/2009/01/25/fashion/25love.html
221,2009-02-01,"My Mr. Right, in the Land of Make-Believe",Kim Gamble,https://www.nytimes.com/2009/02/01/fashion/01love.html
222,2009-02-08,"In My Mother, a Fear Stripped Bare",Susan Sajadi,https://www.nytimes.com/2009/02/08/fashion/08love.html
223,2009-02-15,Kept Together by the Bars Between Us,Amy Friedman,https://www.nytimes.com/2009/02/15/fashion/15love.html
224,2009-02-22,My Back-Seat View of a Great Romance,Rachel Monroe,https://www.nytimes.com/2009/02/22/fashion/22love.html
225,2009-03-01,"Swapping Fathers, Swiftly",Jane Alison,https://www.nytimes.com/2009/03/01/fashion/01love.html
226,2009-03-08,"In a Charmed Life, a Road Less Traveled",Layng Martine Jr.,https://www.nytimes.com/2009/03/08/fashion/08love.html
227,2009-03-15,A Family That Takes ‘No’ for an Answer (Updated With Podcast),Leigh Newman,https://www.nytimes.com/2009/03/15/fashion/15love.html
228,2009-03-22,A Memory Magically Interrupted (Updated with Podcast),Robert Leleux,https://www.nytimes.com/2009/03/22/fashion/22love-1.html
229,2009-03-29,My Clock Was Already Ticking,Margaret Gunther,https://www.nytimes.com/2009/03/29/fashion/29love.html
230,2009-04-05,Just One Last Swirl Around the Bowl,Dan Barry,https://www.nytimes.com/2009/04/05/fashion/05love.html
231,2009-04-12,Finding Forgiveness in a Ziploc,Jane Hamilton,https://www.nytimes.com/2009/04/12/fashion/12love.html
232,2009-04-19,Down to ‘The Wire’,Natasha Sajé,https://www.nytimes.com/2009/04/19/fashion/19love.html
233,2009-04-26,‘Maddy’ Just Might Work After All (Updated With Podcast),Jennifer Finney Boylan,https://www.nytimes.com/2009/04/26/style/modern-love-maddy-just-might-work-after-all.html
234,2009-05-03,A Dream Deferred,Alexis Schaitkin,https://www.nytimes.com/2009/05/03/fashion/03love.html
235,2009-05-10,The Long Way Home,Debra Gwartney,https://www.nytimes.com/2009/05/10/fashion/10love.html
236,2009-05-17,"Somewhere Inside, a Path to Empathy",David Finch,https://www.nytimes.com/2009/05/17/style/modern-love-somewhere-inside-a-path-to-empathy.html
237,2009-05-24,"For Good or Bad, a Lifelong Investment",Marc Peyser,https://www.nytimes.com/2009/05/24/fashion/24love.html
238,2009-05-31,My View From the Margins,Louise Rafkin,https://www.nytimes.com/2009/05/31/fashion/31lovesub.html
239,2009-06-07,First Comes Marriage,Farahad Zama,https://www.nytimes.com/2009/06/07/fashion/07love.html
240,2009-06-14,When Bliss Is a Mutual Fund,Brett Paesel,https://www.nytimes.com/2009/06/14/fashion/14newlove.html
241,2009-06-21,Good Practice for a Tough Fatherhood,Douglas Brown,https://www.nytimes.com/2009/06/21/fashion/21love.html
242,2009-06-28,Raising a Princess Single-Handedly,Simon Van Booy,https://www.nytimes.com/2009/06/28/fashion/28love.html
243,2009-07-05,"In My Fantasy, I Caught Up to Reality",John Gfroerer,https://www.nytimes.com/2009/07/05/fashion/05love.html
244,2009-07-12,"Yes, We Do. Even at Our Age.",Nancy Price Freedman,https://www.nytimes.com/2009/07/12/fashion/12love.html
245,2009-07-19,A Time to Put Aside the Armor,Ariel Sabar,https://www.nytimes.com/2009/07/19/fashion/19love.html
246,2009-07-26,My Secret Left Me Unable to Help,,https://www.nytimes.com/2009/07/26/fashion/26Love.html
247,2009-08-02,"Those Aren’t Fighting Words, Dear",Laura A. Munson,https://www.nytimes.com/2009/08/02/style/modern-love-those-arent-fighting-words-dear.html
248,2009-08-09,"Dear Birth Mother, Please Hit ‘Reply’",Kerry Herlihy,https://www.nytimes.com/2009/08/09/fashion/09love.html
249,2009-08-16,"Snappish at First, Now All Warm and Fuzzy",Candida Pugh,https://www.nytimes.com/2009/08/16/fashion/16love.html
250,2009-08-23,The Leaves Had Fallen. Where Was Spring?,Judy Smith,https://www.nytimes.com/2009/08/23/fashion/23love.html
251,2009-08-30,"Once Political, Now Just Practical",Sara Sarasohn,https://www.nytimes.com/2009/08/30/fashion/30love.html
252,2009-09-06,Giving Myself Consent to Let Go,Elizabeth Scarboro,https://www.nytimes.com/2009/09/06/fashion/06love.html
253,2009-09-13,Making Room for My Junk Man,Susan Shapiro,https://www.nytimes.com/2009/09/13/fashion/13love.html
254,2009-09-20,Forget the Men. Pick a Guy.,Cathleen Calbert,https://www.nytimes.com/2009/09/20/fashion/20love.html
255,2009-09-27,My Mother’s Imposed Fast: I Feel Her Hunger,Natasha Singh,https://www.nytimes.com/2009/09/27/fashion/27love.html
256,2009-10-04,"An Affection Multiplier, With Four Feet and Wet Nose",Bob Morris,https://www.nytimes.com/2009/10/04/fashion/04love.html
257,2009-10-11,For the Boy Who Makes Waves,Joe Blair,https://www.nytimes.com/2009/10/11/fashion/11love.html
258,2009-10-18,"To Nurture Again, With Courage",,https://www.nytimes.com/2009/10/18/fashion/18Love.html
259,2009-10-25,When Madness Is in the Wings,Michelle Nicole Lee,https://www.nytimes.com/2009/10/25/fashion/25love.html
260,2009-11-01,All I Wanted Was a Hug,Holly Welker,https://www.nytimes.com/2009/11/01/fashion/01love.html
261,2009-11-08,A Brief Visit From My Soldier Son,Charles Rush,https://www.nytimes.com/2009/11/08/fashion/08love.html
262,2009-11-15,"That Delicate Membrane, the Heart",Kim Barnes,https://www.nytimes.com/2009/11/15/fashion/15love.html
263,2009-11-22,The Boundaries of a Breakup,Charles H. Antin,https://www.nytimes.com/2009/11/22/fashion/22love.html
264,2009-11-29,Would My Heart Outrun Its Pursuer?,Gary Presley,https://www.nytimes.com/2009/11/29/style/modern-love-would-my-heart-outrun-its-pursuer.html
265,2009-12-06,"Even in English, a Language Gap",JENNIFER PERCY,https://www.nytimes.com/2009/12/06/fashion/06love.html
266,2009-12-13,A Joint Account That Underwrites Our Marriage,David Sarasohn,https://www.nytimes.com/2009/12/13/fashion/13love.html
267,2009-12-27,When My Mother Called Out the Posse,Brandon Lawniczak,https://www.nytimes.com/2009/12/27/fashion/27love.html
268,2010-01-03,Could I Forgive Him One Last Time?,Victoria Rosner,https://www.nytimes.com/2010/01/03/fashion/03love.html
269,2010-01-10,How I Earned My Wings Back,Tiffany Hawk,https://www.nytimes.com/2010/01/10/fashion/10love.html
270,2010-01-17,When I Was Left to Speak for Both of Us,Paula Ganzi Licata,https://www.nytimes.com/2010/01/17/fashion/17modlove.html
271,2010-01-24,Helped to Heal by a Stranger’s Truth,Leah Carroll,https://www.nytimes.com/2010/01/24/fashion/24love.html
272,2010-01-31,Alone on a Path Shared by Many,Allison Amend,https://www.nytimes.com/2010/01/31/fashion/31love.html
273,2010-02-07,How Could I Embrace a Village?,Mary Helen Specht,https://www.nytimes.com/2010/02/07/fashion/07love.html
274,2010-02-14,Explaining the Irrational: Here Goes ...,Daniel Jones,https://www.nytimes.com/2010/02/14/fashion/14modlove.html
275,2010-02-21,"Signs, Wonders and Fates Fulfilled",STEPHANIE SALDANA,https://www.nytimes.com/2010/02/21/fashion/21love.html
276,2010-02-28,"A Family Label, Ungarbled",Harriet Brown,https://www.nytimes.com/2010/02/28/fashion/28love.html
277,2010-03-07,Death Bear Will See You Now,Loren Berlin,https://www.nytimes.com/2010/03/07/fashion/07love.html
278,2010-03-14,"Holding Fast, Letting Go",,https://www.nytimes.com/2010/03/14/fashion/14LOVE.html
279,2010-03-21,The Ex-Husband Who Never Left,,https://www.nytimes.com/2010/03/21/fashion/21LOVE.html
280,2010-03-28,"A Life to Live, This Side of the Bars",,https://www.nytimes.com/2010/03/28/fashion/28Love.html
281,2010-04-04,"A Wallet-Size Photo, a Father’s Double Life",Tal Abbady,https://www.nytimes.com/2010/04/04/fashion/04love.html
282,2010-04-11,Sweetest at the End,,https://www.nytimes.com/2010/04/11/fashion/11LOVE.html
283,2010-04-18,"Chatting Up the Trophy Girl, Toddler Style",,https://www.nytimes.com/2010/04/18/fashion/18LOVE.html
284,2010-04-25,Anchors Don’t Come in Pretty Boxes,,https://www.nytimes.com/2010/04/25/fashion/25Love.html
285,2010-05-02,Falling Off the World,,https://www.nytimes.com/2010/05/02/fashion/02Love.html
286,2010-05-09,Open Adoption: Not So Simple Math,,https://www.nytimes.com/2010/05/09/fashion/09Love.html
287,2010-05-16,When the Toast Is: ‘To Your Health’,Alice Feiring,https://www.nytimes.com/2010/05/16/fashion/16love.html
288,2010-05-23,The Triangle’s Sharpest Point,Ingrid Maitland,https://www.nytimes.com/2010/05/23/fashion/23love.html
289,2010-05-30,Our Way of Saying Goodbye,Laura Fraser,https://www.nytimes.com/2010/05/30/fashion/30love.html
290,2010-06-06,"Affirmation, Etched in Vinyl",,https://www.nytimes.com/2010/06/06/fashion/06Love.html
291,2010-06-13,Competing in My Own Reality Show,Diana Spechler,https://www.nytimes.com/2010/06/13/fashion/13love.html
292,2010-06-20,Across the Threshold of Fatherhood,,https://www.nytimes.com/2010/06/20/fashion/20Love.html
293,2010-06-27,Finding Marriage Without Losing a Self,,https://www.nytimes.com/2010/06/27/fashion/27Love.html
294,2010-07-04,The Tangle of Biology and Choice,,https://www.nytimes.com/2010/07/04/fashion/04Love.html
295,2010-07-11,What Clown Wrote This Script?,,https://www.nytimes.com/2010/07/11/fashion/11Love.html
296,2010-07-18,Mom/Not Mom/Aunt,Jerry Mahoney,https://www.nytimes.com/2010/07/18/fashion/18love.html
297,2010-07-25,The Accidental Older Woman,,https://www.nytimes.com/2010/07/25/fashion/25Love.html
298,2010-08-01,A Kite That Couldn’t Be Tied Down,,https://www.nytimes.com/2010/08/01/fashion/01Love.html
299,2010-08-08,Marry a Man Who Loves His Mother,,https://www.nytimes.com/2010/08/08/fashion/08Love.html
300,2010-08-15,Is the Husband Going to Be a Problem?,Caroline Bicks,https://www.nytimes.com/2010/08/15/fashion/15love.html
301,2010-08-22,My Brother’s Keeper (Assembly Required),,https://www.nytimes.com/2010/08/22/fashion/22Love.html
302,2010-08-29,"On the Precipice, Wings Spread",,https://www.nytimes.com/2010/08/29/fashion/29Love.html
303,2010-09-05,"In Bitter Moments, Reaching for the Sweet",Sara Hope Anderson,https://www.nytimes.com/2010/09/05/fashion/05love.html
304,2010-09-12,The Anatomy of a Breakup,,https://www.nytimes.com/2010/09/12/fashion/12Love.html
305,2010-09-19,Diving Deep to Reach the Surface,,https://www.nytimes.com/2010/09/19/fashion/19Love.html
306,2010-09-26,Tunneling to the Core of Family,Joanna Steinglass,https://www.nytimes.com/2010/09/26/fashion/26love.html
307,2010-10-03,Would Hemingway Cry?,,https://www.nytimes.com/2010/10/03/fashion/03Modern.html
308,2010-10-10,"Sex on the Run? No, We Parked",Susan Silas,https://www.nytimes.com/2010/10/10/fashion/10modern.html
309,2010-10-17,Gifts for the Broken-Hearted,,https://www.nytimes.com/2010/10/17/fashion/17Modern.html
310,2010-10-24,Maternal Wisdom (5 Pounds’ Worth),,https://www.nytimes.com/2010/10/24/fashion/24Modern.html
311,2010-10-31,Keeping Them Company at the End,,https://www.nytimes.com/2010/10/31/fashion/31Modern.html
312,2010-11-07,"Breathe In, Breathe Out, Fall in Love",,https://www.nytimes.com/2010/11/07/fashion/07Modern.html
313,2010-11-14,The Quiet Side of Being a Soldier’s Other Half,,https://www.nytimes.com/2010/11/14/fashion/14Modern.html
314,2010-11-21,Alone When the Bedbugs Bite,,https://www.nytimes.com/2010/11/21/fashion/21Modern.html
315,2010-11-28,We Should Dance While We Can,,https://www.nytimes.com/2010/11/28/fashion/28Modern.html
316,2010-12-05,"Honey, Let’s Get a Little Divorced",,https://www.nytimes.com/2010/12/05/fashion/05Modern.html
317,2010-12-12,A Roomful of Yearning and Regret,,https://www.nytimes.com/2010/12/12/fashion/12Modern.html
318,2010-12-19,What the Rabbi Said,,https://www.nytimes.com/2010/12/19/fashion/19MODERN.html
319,2010-12-26,A String of Bulbs Was Our Guiding Star,,https://www.nytimes.com/2010/12/26/fashion/26Modern.html
320,2011-01-02,"From a Moment of Fear, a Lifetime of Clarity",,https://www.nytimes.com/2011/01/02/fashion/02Modern.html
321,2011-01-09,"Single, Female, Mormon, Alone",,https://www.nytimes.com/2011/01/09/fashion/09Modern.html
322,2011-01-16,When a Former Life Beckons,,https://www.nytimes.com/2011/01/16/fashion/16Modern.html
323,2011-01-23,Saying ‘I Don’t’ to Release the Anger,,https://www.nytimes.com/2011/01/23/fashion/23Modern.html
324,2011-01-30,I Call Your/His Name,,https://www.nytimes.com/2011/01/30/fashion/30Modern.html
325,2011-02-06,The Hardest Lesson to Learn,,https://www.nytimes.com/2011/02/06/fashion/06Modern.html
326,2011-02-13,GPS on a Path to the Heart,,https://www.nytimes.com/2011/02/13/fashion/13Modern.html
327,2011-02-20,"Perfect, With Childbearing Hips",,https://www.nytimes.com/2011/02/20/fashion/20Modern.html
328,2011-02-27,Speaking at Arm’s Length With Music,,https://www.nytimes.com/2011/02/27/fashion/27Modern.html
329,2011-03-06,A Once-Upon-a-Time Romance,,https://www.nytimes.com/2011/03/06/fashion/6Modern.html
330,2011-03-13,"Casting Call: Bit Player, Male",,https://www.nytimes.com/2011/03/13/fashion/13ModernLove.html
331,2011-03-20,Navigating in a Long-Distance Affair,,https://www.nytimes.com/2011/03/20/fashion/20Modernlove.html
332,2011-03-27,Revenge of the Friend,,https://www.nytimes.com/2011/03/27/fashion/27ModernLove.html
333,2011-04-10,A Little Lint and Suddenly You’re Bridezilla,,https://www.nytimes.com/2011/04/10/fashion/03Modern.html
334,2011-04-10,Sharing the Shame After My Arrest,,https://www.nytimes.com/2011/04/10/fashion/10Modern.html
335,2011-04-17,"Hearts, and Lives, Out of Step",,https://www.nytimes.com/2011/04/17/fashion/17Modern.html
336,2011-04-24,"Deep in the Past, a Link to Bind Us",,https://www.nytimes.com/2011/04/24/fashion/24Modern.html
337,2011-05-01,"Even in Real Life, There Were Screens Between Us",,https://www.nytimes.com/2011/05/01/fashion/01Modern.html
338,2011-05-01,Eating the Forbidden Ham Sandwich,,https://www.nytimes.com/2011/05/01/fashion/08Modern.html
339,2011-05-15,"A Love for the Ages, but Which One?",Anna Klenke,https://www.nytimes.com/2011/05/15/fashion/a-love-that-spans-ages-or-seems-like-it-modern-love.html
340,2011-05-22,Stuck at the Border Between the Sexes,Elliott DeLine,https://www.nytimes.com/2011/05/22/fashion/stuck-at-the-border-between-the-sexes-modern-love.html
341,2011-05-29,What Is Carved in Stone,David Mark Simpson,https://www.nytimes.com/2011/05/29/fashion/modern-love-what-is-carved-in-stone.html
342,2011-06-05,Bringing Home the Wrong Race,Diane Farr,https://www.nytimes.com/2011/06/05/fashion/modern-love-breaking-our-parents-rules-for-love.html
343,2011-06-12,"The Radiance, Then the Ashes",Molly Howes,https://www.nytimes.com/2011/06/12/fashion/after-the-radiance-facing-the-ashes-modern-love.html
344,2011-06-19,About That Rustle in the Bushes,Amelia Blanquera,https://www.nytimes.com/2011/06/19/fashion/when-your-father-google-stalks-your-boyfriends-modern-love.html
345,2011-06-26,"A Side Order of Romance, Please",Ellen Airgood,https://www.nytimes.com/2011/06/26/fashion/modern-love-a-side-order-of-romance-please.html
346,2011-07-03,"Love Delivered, Prematurely",Lindsay Abrams,https://www.nytimes.com/2011/07/03/fashion/a-gift-that-came-too-soon-modern-love.html
347,2011-07-10,Wearing Your Heart on Your Skin,Patricia Stacey,https://www.nytimes.com/2011/07/10/fashion/when-troubles-show-on-the-outside-modern-love.html
348,2011-07-17,Ready to Take a Faithful Leap,Kelly Thomas,https://www.nytimes.com/2011/07/17/fashion/ready-to-take-a-faithful-leap-modern-love.html
349,2011-07-24,Ring-Finger Follies,Amy Deneson,https://www.nytimes.com/2011/07/24/fashion/modern-love-say-it-out-loud.html
350,2011-07-31,"A Lost Child, but Not Mine",Kassi Underwood,https://www.nytimes.com/2011/07/31/fashion/a-lost-child-but-not-mine-modern-love.html
351,2011-08-07,An Ex Blogs. Is it O.K. to Watch?,Helen Schulman,https://www.nytimes.com/2011/08/07/fashion/modern-love-when-an-ex-blogs-is-it-ok-to-watch.html
352,2011-08-14,"Downloadable. Unsustainable, Too.",Chris Osborn,https://www.nytimes.com/2011/08/14/fashion/modern-love-downloadable-unsustainable-too.html
353,2011-08-21,My Husband Is Now My Wife,Diane Daniel,https://www.nytimes.com/2011/08/21/fashion/modern-love-my-husband-is-now-my-wife.html
354,2011-08-28,"Just the Two of Us, When One Toddles",Jennifer Baumgardner,https://www.nytimes.com/2011/08/28/fashion/just-the-two-of-us-when-one-toddles.html
355,2011-09-04,To Keep but Not Be Kept,Deanna Fei,https://www.nytimes.com/2011/09/04/fashion/modern-love-the-trophy-wife.html
356,2011-09-11,"Part of a Whole, but Still Me",Alexandra Franklin,https://www.nytimes.com/2011/09/11/fashion/modern-love-revelations-of-a-feminist.html
357,2011-09-18,"A Brother, Lost and Found",Sierra Bellows,https://www.nytimes.com/2011/09/18/fashion/modern-love-a-brother-lost-and-found.html
358,2011-09-25,"Sometimes, It’s Not You, or the Math",Sara Eckel,https://www.nytimes.com/2011/09/25/style/modern-love-sometimes-its-not-you-or-the-math.html
359,2011-10-02,Fury Cannot Touch Me,Janice Wilberg,https://www.nytimes.com/2011/10/02/fashion/fury-cannot-touch-me-modern-love.html
360,2011-10-09,"Fuzzy, Purple and Full of Thorns",Chelsee Pengal,https://www.nytimes.com/2011/10/09/fashion/fuzzy-purple-and-full-of-thorns-modern-love.html
361,2011-10-16,Don’t Give Me What I Want,Terry Tom Brown,https://www.nytimes.com/2011/10/16/fashion/bitten-in-the-virtual-zoo-modern-love.html
362,2011-10-23,Making a Judgment on Love,Lloyd Zimmerman,https://www.nytimes.com/2011/10/23/fashion/making-a-judgment-on-love-modern-love.html
363,2011-10-30,When the Words Don’t Fit,Sarah Healy,https://www.nytimes.com/2011/10/30/fashion/when-the-words-dont-fit-modern-love.html
364,2011-11-06,"In the Clicks of a Mouse, a Betrayal",Teresa Difalco,https://www.nytimes.com/2011/11/06/fashion/in-a-divorce-the-clicks-of-a-mouse-modern-love.html
365,2011-11-13,A Twist of Fate,Alexandria Marzano-Lesnevich,https://www.nytimes.com/2011/11/13/fashion/a-twist-of-fate-modern-love.html
366,2011-11-20,Romance’s New Format,Charlotte Alter,https://www.nytimes.com/2011/11/20/fashion/guns-ammo-romance-modern-love.html
367,2011-11-27,Out of the Darkness,Mark Lukach,https://www.nytimes.com/2011/11/27/fashion/out-of-the-darkness-modern-love.html
368,2011-12-04,What a Scale Can’t Measure,Paula Derrow,https://www.nytimes.com/2011/12/04/fashion/what-a-scale-cant-measure-modern-love.html
369,2011-12-11,What Wasn’t Passed On,Mary Beth Caschetta,https://www.nytimes.com/2011/12/11/fashion/what-wasnt-passed-on-modern-love.html
370,2011-12-18,Taking a Step Forward,Deborah Derrickson Kossmann,https://www.nytimes.com/2011/12/18/fashion/taking-a-step-forward-modern-love.html
371,2011-12-25,"The Magi at 40,000 Feet",Laura Wilkinson Sinton,https://www.nytimes.com/2011/12/25/fashion/the-magi-at-10000-feet-modern-love.html
372,2012-01-01,"A Forgotten Prayer, Answered",Charlotte Bacon,https://www.nytimes.com/2012/01/01/fashion/a-forgotten-prayer-answered-modern-love.html
373,2012-01-08,A Place to Lay My Heart,Elisabeth Eaves,https://www.nytimes.com/2012/01/08/fashion/a-place-to-lay-my-heart-modern-love.html
374,2012-01-15,"Exit Left, Wordlessly",Aimee Lee Ball,https://www.nytimes.com/2012/01/15/fashion/exit-left-wordlessly.html
375,2012-01-22,Watching Them Watching Me,Dean E. Murphy,https://www.nytimes.com/2012/01/22/fashion/watching-them-watching-me.html
376,2012-01-29,Plunging Ahead to Poke the Bear,Elizabeth Weil,https://www.nytimes.com/2012/01/29/fashion/embracing-marriage-flaws-and-all.html
377,2012-02-05,"Formerly Spouses, Now Step-Siblings",Adrienne Brodeur,https://www.nytimes.com/2012/02/05/fashion/i-am-my-own-in-law.html
378,2012-02-12,The Spell of My Father’s Wedding Ring,Damian Van Denburgh,https://www.nytimes.com/2012/02/12/fashion/a-gold-band-carries-baggage.html
379,2012-02-19,What Might Have Been,Jaime Cone,https://www.nytimes.com/2012/02/19/fashion/adoption-story-what-my-life-might-have-been-modern-love.html
380,2012-02-26,A Child of Two Worlds,Rachel Pieh Jones,https://www.nytimes.com/2012/02/26/fashion/a-gift-from-allah-modern-love.html
381,2012-03-04,"A World Away, a Wish Answered",Natalie Appleton,https://www.nytimes.com/2012/03/04/fashion/a-world-away-a-wish-answered-modern-love.html
382,2012-03-11,What the Psychic Knew,Marcia DeSanctis,https://www.nytimes.com/2012/03/11/fashion/a-small-lump-challenges-a-prediction.html
383,2012-03-18,"Moving Through Grief, Chair by Chair",Avery Corman,https://www.nytimes.com/2012/03/18/fashion/moving-through-grief-chair-by-chair-modern-love.html
384,2012-03-25,"A Family Fairy Tale, Twice Told",Liz Moore,https://www.nytimes.com/2012/03/25/fashion/modern-love-a-family-fairy-tale-twice-told.html
385,2012-04-01,Getting to That Safe Place,Elisabeth Fairfield Stokes,https://www.nytimes.com/2012/04/01/fashion/getting-to-that-safe-place.html
386,2012-04-08,"A Surrender to War, After an Uneasy Peace",JENNY WILLIAMS,https://www.nytimes.com/2012/04/08/fashion/a-surrender-after-an-uneasy-peace.html
387,2012-04-15,Looking for Signs That It’s Meant to Be,LIZ FALLETTA,https://www.nytimes.com/2012/04/15/fashion/looking-for-signs-that-its-meant-to-be.html
388,2012-04-22,Devoted but Dateless,HANNAH BROWN,https://www.nytimes.com/2012/04/22/fashion/devoted-but-dateless.html
389,2012-04-29,The Never-to-Be Bride,ELISSA BASSIST,https://www.nytimes.com/2012/04/29/fashion/the-never-to-be-bride.html
390,2012-05-06,A Hiker’s Guide to Healing,ASPEN MATIS,https://www.nytimes.com/2012/05/06/fashion/a-hikers-guide-to-healing.html
391,2012-05-13,Paralysis of the Heart,Michelle Fiordaliso,https://www.nytimes.com/2012/05/13/fashion/modern-love-paralysis-of-the-heart.html
392,2012-05-20,Navigating New Trenches After a Breakup,Kate McGovern,https://www.nytimes.com/2012/05/20/fashion/reorienting-after-a-relationships-end-modern-love.html
393,2012-05-27,"A Visit, and What Really Happened",Susan Shapiro,https://www.nytimes.com/2012/05/27/fashion/a-visit-and-what-really-happened-modern-love.html
394,2012-06-03,"Happily Ever, After We Split",Wendy Paris,https://www.nytimes.com/2012/06/03/fashion/happily-ever-after-divorce.html
395,2012-06-10,Learning to Play the Cards She Is Dealt,Alina Simone,https://www.nytimes.com/2012/06/10/fashion/modern-love-her-future-is-in-the-cards.html
396,2012-06-17,"A Father, a Son and a Fighting Chance",Dominick Zarrillo,https://www.nytimes.com/2012/06/17/fashion/modern-love-a-father-a-son-and-a-fighting-chance.html
397,2012-06-24,Missing the Boat: A Case for Marriage,Jessica Bennett,https://www.nytimes.com/2012/06/24/fashion/missing-the-love-boat-the-case-for-marriage-modern-love.html
398,2012-07-01,A Measure of Desire,Andrea Jarrell,https://www.nytimes.com/2012/07/01/fashion/a-measure-of-desire-modern-love.html
399,2012-07-08,Welcomed With Open Arms in Mumbai,May Jeong,https://www.nytimes.com/2012/07/08/fashion/forgoing-a-shortcut-on-the-path-to-happiness-modern-love-not-enough-to-give-modern-love.html
400,2012-07-15,"So Much in Common, in Name Only",Milla Goldenberg,https://www.nytimes.com/2012/07/15/fashion/so-much-in-common-in-name-only.html
401,2012-07-22,"When Mom Is on the Scent, and Right",Liza Monroy,https://www.nytimes.com/2012/07/22/fashion/when-a-mother-is-a-professional-profiler-modern-love.html
402,2012-07-29,Newly Wed and Quickly Unraveling,Wendy C. Ortiz,https://www.nytimes.com/2012/07/29/fashion/newly-wed-and-quickly-unraveling-modern-love.html
403,2012-08-05,Untying a Birth Mother’s Hands,Elizabeth Foy Larsen,https://www.nytimes.com/2012/08/05/fashion/untying-a-birth-mothers-hands-modern-love.html
404,2012-08-12,Sad News Like a Warm Hug Goodbye,Lucy Schulte Danziger,https://www.nytimes.com/2012/08/12/fashion/sad-news-like-a-warm-hug-goodbye.html
405,2012-08-19,A Glass All Empty,Elissa Schappell,https://www.nytimes.com/2012/08/19/fashion/a-glass-all-empty.html
406,2012-08-26,Four-Legged Reason to Keep It Together,Timothy Braun,https://www.nytimes.com/2012/08/26/fashion/dog-anchors-man-facing-setbacks.html
407,2012-09-02,An Agnostic’s Guide to Marriage,Colleen Oakley,https://www.nytimes.com/2012/09/02/fashion/an-agnostics-guide-to-marriage.html
